"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"973","Malcolm Thomas","Malcolm","Thomas","malcolm","thomas",NA,"6511/malcolm-thomas",6511,"malcolm-thomas",2012,2015
"974","Ryan Reid","Ryan","Reid","ryan","reid",NA,"4286/ryan-reid",4286,"ryan-reid",2012,2012
"975","Travis Leslie","Travis","Leslie","travis","leslie",NA,"6451/travis-leslie",6451,"travis-leslie",2012,2012
"976","Tyler Honeycutt","Tyler","Honeycutt","tyler","honeycutt",NA,"6441/tyler-honeycutt",6441,"tyler-honeycutt",2012,2013
"977","Damian Lillard","Damian","Lillard","damian","lillard",NA,"6606/damian-lillard",6606,"damian-lillard",2013,2019
"978","Bradley Beal","Bradley","Beal","bradley","beal",NA,"6580/bradley-beal",6580,"bradley-beal",2013,2019
"979","Dion Waiters","Dion","Waiters","dion","waiters",NA,"6628/dion-waiters",6628,"dion-waiters",2013,2019
"980","Anthony Davis","Anthony","Davis","anthony","davis",NA,"6583/anthony-davis",6583,"anthony-davis",2013,2019
"981","Alexey Shved","Alexey","Shved","alexey","shved",NA,"3882/alexey-shved",3882,"alexey-shved",2013,2015
"982","Andre Drummond","Andre","Drummond","andre","drummond",NA,"6585/andre-drummond",6585,"andre-drummond",2013,2019
"983","Chris Copeland","Chris","Copeland","chris","copeland",NA,"6635/chris-copeland",6635,"chris-copeland",2013,2016
"984","Harrison Barnes","Harrison","Barnes","harrison","barnes",NA,"6578/harrison-barnes",6578,"harrison-barnes",2013,2019
"985","Jonas Valanciunas","Jonas","Valanciunas","jonas","valanciunas",NA,"6477/jonas-valanciunas",6477,"jonas-valanciunas",2013,2019
"986","Kyle Singler","Kyle","Singler","kyle","singler",NA,"6469/kyle-singler",6469,"kyle-singler",2013,2018
"987","Maurice Harkless","Maurice","Harkless","maurice","harkless",NA,"6591/maurice-harkless",6591,"maurice-harkless",2013,2019
"988","Michael Kidd-Gilchrist","Michael","Kidd-Gilchrist","michael","kidd-gilchrist",NA,"6601/michael-kidd-gilchrist",6601,"michael-kidd-gilchrist",2013,2019
"989","Tyler Zeller","Tyler","Zeller","tyler","zeller",NA,"6631/tyler-zeller",6631,"tyler-zeller",2013,2019
"990","Andrew Nicholson","Andrew","Nicholson","andrew","nicholson",NA,"6614/andrew-nicholson",6614,"andrew-nicholson",2013,2017
"991","Brian Roberts","Brian","Roberts","brian","roberts",NA,"6641/brian-roberts",6641,"brian-roberts",2013,2017
"992","Austin Rivers","Austin","Rivers","austin","rivers",NA,"6617/austin-rivers",6617,"austin-rivers",2013,2019
"993","Donatas Motiejunas","Donatas","Motiejunas","donatas","motiejunas",NA,"6464/donatas-motiejunas",6464,"donatas-motiejunas",2013,2019
"994","Jared Sullinger","Jared","Sullinger","jared","sullinger",NA,"6624/jared-sullinger",6624,"jared-sullinger",2013,2017
"995","Jeffery Taylor","Jeffery","Taylor","jeffery","taylor",NA,"6156/jeffery-taylor",6156,"jeffery-taylor",2013,2015
"996","John Henson","John","Henson","john","henson",NA,"6592/john-henson",6592,"john-henson",2013,2019
"997","John Jenkins","John","Jenkins","john","jenkins",NA,"6594/john-jenkins",6594,"john-jenkins",2013,2019
"998","Khris Middleton","Khris","Middleton","khris","middleton",NA,"6609/khris-middleton",6609,"khris-middleton",2013,2019
"999","Meyers Leonard","Meyers","Leonard","meyers","leonard",NA,"6605/meyers-leonard",6605,"meyers-leonard",2013,2019
"1000","Patrick Beverley","Patrick","Beverley","patrick","beverley",NA,"3964/patrick-beverley",3964,"patrick-beverley",2013,2019
"1001","Terrence Jones","Terrence","Jones","terrence","jones",NA,"6597/terrence-jones",6597,"terrence-jones",2013,2019
"1002","Terrence Ross","Terrence","Ross","terrence","ross",NA,"6619/terrence-ross",6619,"terrence-ross",2013,2019
"1003","Evan Fournier","Evan","Fournier","evan","fournier",NA,"6588/evan-fournier",6588,"evan-fournier",2013,2019
"1004","Jae Crowder","Jae","Crowder","jae","crowder",NA,"6581/jae-crowder",6581,"jae-crowder",2013,2019
"1005","Justin Holiday","Justin","Holiday","justin","holiday",NA,"2284101/justin-holiday",2284101,"justin-holiday",2013,2019
