"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1","Allen Iverson","Allen","Iverson","allen","iverson",NA,"366/allen-iverson",366,"allen-iverson",2005,2010
"2","Amar'e Stoudemire","Amar'e","Stoudemire","amare","stoudemire",NA,"1727/amar'e-stoudemire",1727,"amar'e-stoudemire",2005,2016
"3","Antawn Jamison","Antawn","Jamison","antawn","jamison",NA,"385/antawn-jamison",385,"antawn-jamison",2005,2014
"4","Antoine Walker","Antoine","Walker","antoine","walker",NA,"881/antoine-walker",881,"antoine-walker",2005,2008
"5","Baron Davis","Baron","Davis","baron","davis",NA,"194/baron-davis",194,"baron-davis",2005,2012
"6","Carlos Boozer","Carlos","Boozer","carlos","boozer",NA,"1703/carlos-boozer",1703,"carlos-boozer",2005,2015
"7","Carmelo Anthony","Carmelo","Anthony","carmelo","anthony",NA,"1975/carmelo-anthony",1975,"carmelo-anthony",2005,2019
"8","Chris Webber","Chris","Webber","chris","webber",NA,"897/chris-webber",897,"chris-webber",2005,2008
"9","Corey Maggette","Corey","Maggette","corey","maggette",NA,"497/corey-maggette",497,"corey-maggette",2005,2013
"10","Dirk Nowitzki","Dirk","Nowitzki","dirk","nowitzki",NA,"609/dirk-nowitzki",609,"dirk-nowitzki",2005,2019
"11","Dwyane Wade","Dwyane","Wade","dwyane","wade",NA,"1987/dwyane-wade",1987,"dwyane-wade",2005,2019
"12","Elton Brand","Elton","Brand","elton","brand",NA,"91/elton-brand",91,"elton-brand",2005,2016
"13","Gilbert Arenas","Gilbert","Arenas","gilbert","arenas",NA,"974/gilbert-arenas",974,"gilbert-arenas",2005,2012
"14","Grant Hill","Grant","Hill","grant","hill",NA,"336/grant-hill",336,"grant-hill",2005,2013
"15","Jalen Rose","Jalen","Rose","jalen","rose",NA,"738/jalen-rose",738,"jalen-rose",2005,2007
"16","Jason Richardson","Jason","Richardson","jason","richardson",NA,"1018/jason-richardson",1018,"jason-richardson",2005,2015
"17","Jermaine O'Neal","Jermaine","O'Neal","jermaine","oneal",NA,"615/jermaine-o'neal",615,"jermaine-o'neal",2005,2014
"18","Kevin Garnett","Kevin","Garnett","kevin","garnett",NA,"261/kevin-garnett",261,"kevin-garnett",2005,2016
"19","Kobe Bryant","Kobe","Bryant","kobe","bryant",NA,"110/kobe-bryant",110,"kobe-bryant",2005,2016
"20","Larry Hughes","Larry","Hughes","larry","hughes",NA,"356/larry-hughes",356,"larry-hughes",2005,2012
"21","LeBron James","LeBron","James","lebron","james",NA,"1966/lebron-james",1966,"lebron-james",2005,2019
"22","Metta World Peace","Metta","World Peace","metta","world peace",NA,"25/metta-world-peace",25,"metta-world-peace",2005,2017
"23","Michael Redd","Michael","Redd","michael","redd",NA,"692/michael-redd",692,"michael-redd",2005,2012
"24","Mike Bibby","Mike","Bibby","mike","bibby",NA,"61/mike-bibby",61,"mike-bibby",2005,2012
"25","Paul Pierce","Paul","Pierce","paul","pierce",NA,"662/paul-pierce",662,"paul-pierce",2005,2017
"26","Peja Stojakovic","Peja","Stojakovic","peja","stojakovic",NA,"813/peja-stojakovic",813,"peja-stojakovic",2005,2011
"27","Rashard Lewis","Rashard","Lewis","rashard","lewis",NA,"469/rashard-lewis",469,"rashard-lewis",2005,2014
"28","Ray Allen","Ray","Allen","ray","allen",NA,"9/ray-allen",9,"ray-allen",2005,2014
"29","Richard Hamilton","Richard","Hamilton","richard","hamilton",NA,"294/richard-hamilton",294,"richard-hamilton",2005,2013
"30","Richard Jefferson","Richard","Jefferson","richard","jefferson",NA,"1006/richard-jefferson",1006,"richard-jefferson",2005,2018
"31","Shaquille O'Neal","Shaquille","O'Neal","shaquille","oneal",NA,"614/shaquille-o'neal",614,"shaquille-o'neal",2005,2011
"32","Shawn Marion","Shawn","Marion","shawn","marion",NA,"510/shawn-marion",510,"shawn-marion",2005,2015
"33","Stephen Jackson","Stephen","Jackson","stephen","jackson",NA,"378/stephen-jackson",378,"stephen-jackson",2005,2014
"34","Stephon Marbury","Stephon","Marbury","stephon","marbury",NA,"509/stephon-marbury",509,"stephon-marbury",2005,2009
"35","Steve Francis","Steve","Francis","steve","francis",NA,"255/steve-francis",255,"steve-francis",2005,2008
"36","Tim Duncan","Tim","Duncan","tim","duncan",NA,"215/tim-duncan",215,"tim-duncan",2005,2016
"37","Tracy McGrady","Tracy","McGrady","tracy","mcgrady",NA,"532/tracy-mcgrady",532,"tracy-mcgrady",2005,2012
"38","Vince Carter","Vince","Carter","vince","carter",NA,"136/vince-carter",136,"vince-carter",2005,2019
"39","Yao Ming","Yao","Ming","yao","ming",NA,"1722/yao-ming",1722,"yao-ming",2005,2011
"40","Zach Randolph","Zach","Randolph","zach","randolph",NA,"1017/zach-randolph",1017,"zach-randolph",2005,2018
"41","Al Harrington","Al","Harrington","al","harrington",NA,"308/al-harrington",308,"al-harrington",2005,2014
"42","Andrei Kirilenko","Andrei","Kirilenko","andrei","kirilenko",NA,"434/andrei-kirilenko",434,"andrei-kirilenko",2005,2015
"43","Ben Gordon","Ben","Gordon","ben","gordon",NA,"2381/ben-gordon",2381,"ben-gordon",2005,2015
"44","Bobby Simmons","Bobby","Simmons","bobby","simmons",NA,"1022/bobby-simmons",1022,"bobby-simmons",2005,2012
"45","Brad Miller","Brad","Miller","brad","miller",NA,"556/brad-miller",556,"brad-miller",2005,2012
"46","Caron Butler","Caron","Butler","caron","butler",NA,"1705/caron-butler",1705,"caron-butler",2005,2016
"47","Chauncey Billups","Chauncey","Billups","chauncey","billups",NA,"63/chauncey-billups",63,"chauncey-billups",2005,2014
"48","Chris Bosh","Chris","Bosh","chris","bosh",NA,"1977/chris-bosh",1977,"chris-bosh",2005,2016
"49","Cuttino Mobley","Cuttino","Mobley","cuttino","mobley",NA,"566/cuttino-mobley",566,"cuttino-mobley",2005,2009
"50","Damon Stoudamire","Damon","Stoudamire","damon","stoudamire",NA,"817/damon-stoudamire",817,"damon-stoudamire",2005,2008
"51","Desmond Mason","Desmond","Mason","desmond","mason",NA,"518/desmond-mason",518,"desmond-mason",2005,2010
"52","Drew Gooden","Drew","Gooden","drew","gooden",NA,"1711/drew-gooden",1711,"drew-gooden",2005,2016
"53","Eddy Curry","Eddy","Curry","eddy","curry",NA,"990/eddy-curry",990,"eddy-curry",2005,2013
"54","Emeka Okafor","Emeka","Okafor","emeka","okafor",NA,"2399/emeka-okafor",2399,"emeka-okafor",2005,2018
"55","Hedo Turkoglu","Hedo","Turkoglu","hedo","turkoglu",NA,"862/hedo-turkoglu",862,"hedo-turkoglu",2005,2015
"56","Jamaal Tinsley","Jamaal","Tinsley","jamaal","tinsley",NA,"1024/jamaal-tinsley",1024,"jamaal-tinsley",2005,2014
"57","Jamal Crawford","Jamal","Crawford","jamal","crawford",NA,"165/jamal-crawford",165,"jamal-crawford",2005,2019
"58","Jason Kidd","Jason","Kidd","jason","kidd",NA,"429/jason-kidd",429,"jason-kidd",2005,2013
"59","Jerry Stackhouse","Jerry","Stackhouse","jerry","stackhouse",NA,"802/jerry-stackhouse",802,"jerry-stackhouse",2005,2013
"60","Joe Johnson","Joe","Johnson","joe","johnson",NA,"1007/joe-johnson",1007,"joe-johnson",2005,2018
"61","Kenyon Martin","Kenyon","Martin","kenyon","martin",NA,"515/kenyon-martin",515,"kenyon-martin",2005,2015
"62","Kirk Hinrich","Kirk","Hinrich","kirk","hinrich",NA,"1981/kirk-hinrich",1981,"kirk-hinrich",2005,2016
"63","Lamar Odom","Lamar","Odom","lamar","odom",NA,"617/lamar-odom",617,"lamar-odom",2005,2013
"64","Lee Nailon","Lee","Nailon","lee","nailon",NA,"590/lee-nailon",590,"lee-nailon",2005,2006
"65","Manu Ginobili","Manu","Ginobili","manu","ginobili",NA,"272/manu-ginobili",272,"manu-ginobili",2005,2018
"66","Matt Harpring","Matt","Harpring","matt","harpring",NA,"306/matt-harpring",306,"matt-harpring",2005,2009
"67","Michael Finley","Michael","Finley","michael","finley",NA,"242/michael-finley",242,"michael-finley",2005,2010
"68","Pau Gasol","Pau","Gasol","pau","gasol",NA,"996/pau-gasol",996,"pau-gasol",2005,2019
"69","Quentin Richardson","Quentin","Richardson","quentin","richardson",NA,"703/quentin-richardson",703,"quentin-richardson",2005,2013
"70","Rafer Alston","Rafer","Alston","rafer","alston",NA,"11/rafer-alston",11,"rafer-alston",2005,2010
"71","Rasheed Wallace","Rasheed","Wallace","rasheed","wallace",NA,"883/rasheed-wallace",883,"rasheed-wallace",2005,2013
"72","Reggie Miller","Reggie","Miller","reggie","miller",NA,"552/reggie-miller",552,"reggie-miller",2005,2005
"73","Ricky Davis","Ricky","Davis","ricky","davis",NA,"193/ricky-davis",193,"ricky-davis",2005,2010
"74","Shareef Abdur-Rahim","Shareef","Abdur-Rahim","shareef","abdur-rahim",NA,"3/shareef-abdur-rahim",3,"shareef-abdur-rahim",2005,2008
"75","Steve Nash","Steve","Nash","steve","nash",NA,"592/steve-nash",592,"steve-nash",2005,2014
"76","Tayshaun Prince","Tayshaun","Prince","tayshaun","prince",NA,"1724/tayshaun-prince",1724,"tayshaun-prince",2005,2016
"77","Tony Parker","Tony","Parker","tony","parker",NA,"1015/tony-parker",1015,"tony-parker",2005,2019
"78","Troy Murphy","Troy","Murphy","troy","murphy",NA,"1013/troy-murphy",1013,"troy-murphy",2005,2013
"79","Wally Szczerbiak","Wally","Szczerbiak","wally","szczerbiak",NA,"831/wally-szczerbiak",831,"wally-szczerbiak",2005,2009
"80","Zydrunas Ilgauskas","Zydrunas","Ilgauskas","zydrunas","ilgauskas",NA,"362/zydrunas-ilgauskas",362,"zydrunas-ilgauskas",2005,2011
"81","Allan Houston","Allan","Houston","allan","houston",NA,"349/allan-houston",349,"allan-houston",2005,2005
"82","Andre Miller","Andre","Miller","andre","miller",NA,"557/andre-miller",557,"andre-miller",2005,2016
"83","Antonio Daniels","Antonio","Daniels","antonio","daniels",NA,"183/antonio-daniels",183,"antonio-daniels",2005,2011
"84","Bobby Jackson","Bobby","Jackson","bobby","jackson",NA,"376/bobby-jackson",376,"bobby-jackson",2005,2009
"85","Chucky Atkins","Chucky","Atkins","chucky","atkins",NA,"26/chucky-atkins",26,"chucky-atkins",2005,2010
"86","Damon Jones","Damon","Jones","damon","jones",NA,"406/damon-jones",406,"damon-jones",2005,2009
"87","Dan Dickau","Dan","Dickau","dan","dickau",NA,"1706/dan-dickau",1706,"dan-dickau",2005,2008
"88","Darius Miles","Darius","Miles","darius","miles",NA,"550/darius-miles",550,"darius-miles",2005,2009
"89","David Wesley","David","Wesley","david","wesley",NA,"904/david-wesley",904,"david-wesley",2005,2007
"90","Derek Fisher","Derek","Fisher","derek","fisher",NA,"246/derek-fisher",246,"derek-fisher",2005,2014
"91","Donyell Marshall","Donyell","Marshall","donyell","marshall",NA,"512/donyell-marshall",512,"donyell-marshall",2005,2009
"92","Dwight Howard","Dwight","Howard","dwight","howard",NA,"2384/dwight-howard",2384,"dwight-howard",2005,2019
"93","Earl Boykins","Earl","Boykins","earl","boykins",NA,"87/earl-boykins",87,"earl-boykins",2005,2012
"94","Eddie Jones","Eddie","Jones","eddie","jones",NA,"402/eddie-jones",402,"eddie-jones",2005,2008
"95","Gary Payton","Gary","Payton","gary","payton",NA,"640/gary-payton",640,"gary-payton",2005,2007
"96","Jamaal Magloire","Jamaal","Magloire","jamaal","magloire",NA,"498/jamaal-magloire",498,"jamaal-magloire",2005,2012
"97","Jason Terry","Jason","Terry","jason","terry",NA,"841/jason-terry",841,"jason-terry",2005,2018
"98","Jeff McInnis","Jeff","McInnis","jeff","mcinnis",NA,"535/jeff-mcinnis",535,"jeff-mcinnis",2005,2008
"99","Josh Howard","Josh","Howard","josh","howard",NA,"2006/josh-howard",2006,"josh-howard",2005,2013
"100","Kenny Thomas","Kenny","Thomas","kenny","thomas",NA,"849/kenny-thomas",849,"kenny-thomas",2005,2010
"101","Kurt Thomas","Kurt","Thomas","kurt","thomas",NA,"846/kurt-thomas",846,"kurt-thomas",2005,2013
"102","Kyle Korver","Kyle","Korver","kyle","korver",NA,"2011/kyle-korver",2011,"kyle-korver",2005,2019
"103","Latrell Sprewell","Latrell","Sprewell","latrell","sprewell",NA,"800/latrell-sprewell",800,"latrell-sprewell",2005,2005
"104","Luol Deng","Luol","Deng","luol","deng",NA,"2429/luol-deng",2429,"luol-deng",2005,2019
"105","Marc Jackson","Marc","Jackson","marc","jackson",NA,"377/marc-jackson",377,"marc-jackson",2005,2007
"106","Mehmet Okur","Mehmet","Okur","mehmet","okur",NA,"1014/mehmet-okur",1014,"mehmet-okur",2005,2012
"107","Mike Dunleavy","Mike","Dunleavy","mike","dunleavy",NA,"1708/mike-dunleavy",1708,"mike-dunleavy",2005,2017
"108","Mike James","Mike","James","mike","james",NA,"1051/mike-james",1051,"mike-james",2005,2014
"109","Mike James","Mike","James","mike","james",NA,"2528096/mike-james",2528096,"mike-james",2018,2018
"110","Mike Miller","Mike","Miller","mike","miller",NA,"558/mike-miller",558,"mike-miller",2005,2017
"111","Morris Peterson","Morris","Peterson","morris","peterson",NA,"656/morris-peterson",656,"morris-peterson",2005,2011
"112","Ndudi Ebi","Ndudi","Ebi","ndudi","ebi",NA,"2001/ndudi-ebi",2001,"ndudi-ebi",2005,2005
"113","Primoz Brezec","Primoz","Brezec","primoz","brezec",NA,"94/primoz-brezec",94,"primoz-brezec",2005,2010
"114","Raja Bell","Raja","Bell","raja","bell",NA,"49/raja-bell",49,"raja-bell",2005,2012
"115","Ruben Patterson","Ruben","Patterson","ruben","patterson",NA,"638/ruben-patterson",638,"ruben-patterson",2005,2008
"116","Sam Cassell","Sam","Cassell","sam","cassell",NA,"138/sam-cassell",138,"sam-cassell",2005,2008
"117","Speedy Claxton","Speedy","Claxton","speedy","claxton",NA,"150/speedy-claxton",150,"speedy-claxton",2005,2009
"118","Tim Thomas","Tim","Thomas","tim","thomas",NA,"847/tim-thomas",847,"tim-thomas",2005,2010
"119","Tony Delk","Tony","Delk","tony","delk",NA,"198/tony-delk",198,"tony-delk",2005,2006
"120","Tyronn Lue","Tyronn","Lue","tyronn","lue",NA,"489/tyronn-lue",489,"tyronn-lue",2005,2009
"121","Vladimir Radmanovic","Vladimir","Radmanovic","vladimir","radmanovic",NA,"1016/vladimir-radmanovic",1016,"vladimir-radmanovic",2005,2013
"122","Antonio McDyess","Antonio","McDyess","antonio","mcdyess",NA,"530/antonio-mcdyess",530,"antonio-mcdyess",2005,2011
"123","Ben Wallace","Ben","Wallace","ben","wallace",NA,"885/ben-wallace",885,"ben-wallace",2005,2012
"124","Bob Sura","Bob","Sura","bob","sura",NA,"825/bob-sura",825,"bob-sura",2005,2005
"125","Bonzi Wells","Bonzi","Wells","bonzi","wells",NA,"901/bonzi-wells",901,"bonzi-wells",2005,2008
"126","Brendan Haywood","Brendan","Haywood","brendan","haywood",NA,"1000/brendan-haywood",1000,"brendan-haywood",2005,2015
"127","Brevin Knight","Brevin","Knight","brevin","knight",NA,"440/brevin-knight",440,"brevin-knight",2005,2009
"128","Chris Mihm","Chris","Mihm","chris","mihm",NA,"549/chris-mihm",549,"chris-mihm",2005,2009
"129","Corliss Williamson","Corliss","Williamson","corliss","williamson",NA,"936/corliss-williamson",936,"corliss-williamson",2005,2007
"130","Derek Anderson","Derek","Anderson","derek","anderson",NA,"18/derek-anderson",18,"derek-anderson",2005,2008
"131","Fred Jones","Fred","Jones","fred","jones",NA,"1718/fred-jones",1718,"fred-jones",2005,2009
"132","Gerald Wallace","Gerald","Wallace","gerald","wallace",NA,"1026/gerald-wallace",1026,"gerald-wallace",2005,2015
"133","Glenn Robinson","Glenn","Robinson","glenn","robinson",NA,"717/glenn-robinson",717,"glenn-robinson",2005,2005
"134","Jarvis Hayes","Jarvis","Hayes","jarvis","hayes",NA,"1980/jarvis-hayes",1980,"jarvis-hayes",2005,2010
"135","Jason Hart","Jason","Hart","jason","hart",NA,"312/jason-hart",312,"jason-hart",2005,2010
"136","Jason Williams","Jason","Williams","jason","williams",NA,"933/jason-williams",933,"jason-williams",2005,2011
"137","Jim Jackson","Jim","Jackson","jim","jackson",NA,"372/jim-jackson",372,"jim-jackson",2005,2006
"138","Joe Smith","Joe","Smith","joe","smith",NA,"788/joe-smith",788,"joe-smith",2005,2011
"139","Josh Childress","Josh","Childress","josh","childress",NA,"2373/josh-childress",2373,"josh-childress",2005,2014
"140","Josh Smith","Josh","Smith","josh","smith",NA,"2411/josh-smith",2411,"josh-smith",2005,2018
"141","JR Smith","JR","Smith","jr","smith",NA,"2444/jr-smith",2444,"jr-smith",2005,2019
"142","Juwan Howard","Juwan","Howard","juwan","howard",NA,"351/juwan-howard",351,"juwan-howard",2005,2013
"143","Keith Bogans","Keith","Bogans","keith","bogans",NA,"1995/keith-bogans",1995,"keith-bogans",2005,2014
"144","Keith Van Horn","Keith","Van Horn","keith","van horn",NA,"869/keith-van-horn",869,"keith-van-horn",2005,2006
"145","Lorenzen Wright","Lorenzen","Wright","lorenzen","wright",NA,"959/lorenzen-wright",959,"lorenzen-wright",2005,2009
"146","Luke Ridnour","Luke","Ridnour","luke","ridnour",NA,"1985/luke-ridnour",1985,"luke-ridnour",2005,2015
"147","Marcus Camby","Marcus","Camby","marcus","camby",NA,"125/marcus-camby",125,"marcus-camby",2005,2013
"148","Mark Blount","Mark","Blount","mark","blount",NA,"70/mark-blount",70,"mark-blount",2005,2009
"149","Marko Jaric","Marko","Jaric","marko","jaric",NA,"387/marko-jaric",387,"marko-jaric",2005,2009
"150","Mickael Pietrus","Mickael","Pietrus","mickael","pietrus",NA,"2173/mickael-pietrus",2173,"mickael-pietrus",2005,2013
"151","Mo Williams","Mo","Williams","mo","williams",NA,"2178/mo-williams",2178,"mo-williams",2005,2016
"152","Nazr Mohammed","Nazr","Mohammed","nazr","mohammed",NA,"568/nazr-mohammed",568,"nazr-mohammed",2005,2016
"153","Nenad Krstic","Nenad","Krstic","nenad","krstic",NA,"1719/nenad-krstic",1719,"nenad-krstic",2005,2011
"154","Nene Hilario","Nene","Hilario","nene","hilario",NA,"1713/nene-hilario",1713,"nene-hilario",2005,2019
"155","Nick Van Exel","Nick","Van Exel","nick","van exel",NA,"868/nick-van-exel",868,"nick-van-exel",2005,2006
"156","P.J. Brown","P.J.","Brown","pj","brown",NA,"99/p.j.-brown",99,"p.j.-brown",2005,2008
"157","Raef LaFrentz","Raef","LaFrentz","raef","lafrentz",NA,"454/raef-lafrentz",454,"raef-lafrentz",2005,2008
"158","Shane Battier","Shane","Battier","shane","battier",NA,"976/shane-battier",976,"shane-battier",2005,2014
"159","Stromile Swift","Stromile","Swift","stromile","swift",NA,"829/stromile-swift",829,"stromile-swift",2005,2009
"160","Udonis Haslem","Udonis","Haslem","udonis","haslem",NA,"2184/udonis-haslem",2184,"udonis-haslem",2005,2019
"161","Voshon Lenard","Voshon","Lenard","voshon","lenard",NA,"465/voshon-lenard",465,"voshon-lenard",2005,2006
"162","Alonzo Mourning","Alonzo","Mourning","alonzo","mourning",NA,"580/alonzo-mourning",580,"alonzo-mourning",2005,2008
"163","Andre Iguodala","Andre","Iguodala","andre","iguodala",NA,"2386/andre-iguodala",2386,"andre-iguodala",2005,2019
"164","Andres Nocioni","Andres","Nocioni","andres","nocioni",NA,"2456/andres-nocioni",2456,"andres-nocioni",2005,2012
"165","Anthony Johnson","Anthony","Johnson","anthony","johnson",NA,"396/anthony-johnson",396,"anthony-johnson",2005,2010
"166","Austin Croshere","Austin","Croshere","austin","croshere",NA,"167/austin-croshere",167,"austin-croshere",2005,2009
"167","Brent Barry","Brent","Barry","brent","barry",NA,"42/brent-barry",42,"brent-barry",2005,2009
"168","Brian Cardinal","Brian","Cardinal","brian","cardinal",NA,"130/brian-cardinal",130,"brian-cardinal",2005,2012
"169","Bruce Bowen","Bruce","Bowen","bruce","bowen",NA,"83/bruce-bowen",83,"bruce-bowen",2005,2009
"170","Chris Andersen","Chris","Andersen","chris","andersen",NA,"1135/chris-andersen",1135,"chris-andersen",2005,2017
"171","Chris Kaman","Chris","Kaman","chris","kaman",NA,"1982/chris-kaman",1982,"chris-kaman",2005,2016
"172","Chris Wilcox","Chris","Wilcox","chris","wilcox",NA,"1731/chris-wilcox",1731,"chris-wilcox",2005,2013
"173","Clifford Robinson","Clifford","Robinson","clifford","robinson",NA,"714/clifford-robinson",714,"clifford-robinson",2005,2007
"174","Danny Fortson","Danny","Fortson","danny","fortson",NA,"248/danny-fortson",248,"danny-fortson",2005,2007
"175","Darius Songaila","Darius","Songaila","darius","songaila",NA,"1784/darius-songaila",1784,"darius-songaila",2005,2011
"176","DeShawn Stevenson","DeShawn","Stevenson","deshawn","stevenson",NA,"808/deshawn-stevenson",808,"deshawn-stevenson",2005,2013
"177","Devin Brown","Devin","Brown","devin","brown",NA,"1858/devin-brown",1858,"devin-brown",2005,2010
"178","Earl Watson","Earl","Watson","earl","watson",NA,"1027/earl-watson",1027,"earl-watson",2005,2014
"179","Eddie Griffin","Eddie","Griffin","eddie","griffin",NA,"997/eddie-griffin",997,"eddie-griffin",2005,2007
"180","Eric Williams","Eric","Williams","eric","williams",NA,"929/eric-williams",929,"eric-williams",2005,2007
"181","Erick Dampier","Erick","Dampier","erick","dampier",NA,"181/erick-dampier",181,"erick-dampier",2005,2012
"182","Gordan Giricek","Gordan","Giricek","gordan","giricek",NA,"273/gordan-giricek",273,"gordan-giricek",2005,2008
"183","Jameer Nelson","Jameer","Nelson","jameer","nelson",NA,"2439/jameer-nelson",2439,"jameer-nelson",2005,2018
"184","James Posey","James","Posey","james","posey",NA,"671/james-posey",671,"james-posey",2005,2011
"185","Jason Kapono","Jason","Kapono","jason","kapono",NA,"2010/jason-kapono",2010,"jason-kapono",2005,2012
"186","Juan Dixon","Juan","Dixon","juan","dixon",NA,"1707/juan-dixon",1707,"juan-dixon",2005,2009
"187","Jumaine Jones","Jumaine","Jones","jumaine","jones",NA,"407/jumaine-jones",407,"jumaine-jones",2005,2007
"188","Kareem Rush","Kareem","Rush","kareem","rush",NA,"1725/kareem-rush",1725,"kareem-rush",2005,2010
"189","Keith McLeod","Keith","McLeod","keith","mcleod",NA,"2522/keith-mcleod",2522,"keith-mcleod",2005,2007
"190","Marquis Daniels","Marquis","Daniels","marquis","daniels",NA,"2200/marquis-daniels",2200,"marquis-daniels",2005,2013
"191","Matt Carroll","Matt","Carroll","matt","carroll",NA,"2211/matt-carroll",2211,"matt-carroll",2005,2013
"192","Michael Sweetney","Michael","Sweetney","michael","sweetney",NA,"2175/michael-sweetney",2175,"michael-sweetney",2005,2007
"193","Othella Harrington","Othella","Harrington","othella","harrington",NA,"307/othella-harrington",307,"othella-harrington",2005,2008
"194","Predrag Drobnjak","Predrag","Drobnjak","predrag","drobnjak",NA,"212/predrag-drobnjak",212,"predrag-drobnjak",2005,2005
"195","Rodney Rogers","Rodney","Rogers","rodney","rogers",NA,"729/rodney-rogers",729,"rodney-rogers",2005,2005
"196","Ron Mercer","Ron","Mercer","ron","mercer",NA,"546/ron-mercer",546,"ron-mercer",2005,2005
"197","Samuel Dalembert","Samuel","Dalembert","samuel","dalembert",NA,"991/samuel-dalembert",991,"samuel-dalembert",2005,2015
"198","Shaun Livingston","Shaun","Livingston","shaun","livingston",NA,"2393/shaun-livingston",2393,"shaun-livingston",2005,2019
"199","Troy Hudson","Troy","Hudson","troy","hudson",NA,"353/troy-hudson",353,"troy-hudson",2005,2008
"200","Tyson Chandler","Tyson","Chandler","tyson","chandler",NA,"984/tyson-chandler",984,"tyson-chandler",2005,2019
"201","Willie Green","Willie","Green","willie","green",NA,"2004/willie-green",2004,"willie-green",2005,2015
"202","Al Jefferson","Al","Jefferson","al","jefferson",NA,"2389/al-jefferson",2389,"al-jefferson",2005,2018
"203","Anfernee Hardaway","Anfernee","Hardaway","anfernee","hardaway",NA,"302/anfernee-hardaway",302,"anfernee-hardaway",2005,2008
"204","Antonio Davis","Antonio","Davis","antonio","davis",NA,"189/antonio-davis",189,"antonio-davis",2005,2006
"205","Bostjan Nachbar","Bostjan","Nachbar","bostjan","nachbar",NA,"1723/bostjan-nachbar",1723,"bostjan-nachbar",2005,2008
"206","Brian Cook","Brian","Cook","brian","cook",NA,"1998/brian-cook",1998,"brian-cook",2005,2012
"207","Brian Scalabrine","Brian","Scalabrine","brian","scalabrine",NA,"1021/brian-scalabrine",1021,"brian-scalabrine",2005,2012
"208","Carlos Arroyo","Carlos","Arroyo","carlos","arroyo",NA,"1055/carlos-arroyo",1055,"carlos-arroyo",2005,2011
"209","Casey Jacobsen","Casey","Jacobsen","casey","jacobsen",NA,"1715/casey-jacobsen",1715,"casey-jacobsen",2005,2008
"210","Damien Wilkins","Damien","Wilkins","damien","wilkins",NA,"2506/damien-wilkins",2506,"damien-wilkins",2005,2018
"211","Dan Gadzuric","Dan","Gadzuric","dan","gadzuric",NA,"1710/dan-gadzuric",1710,"dan-gadzuric",2005,2012
"212","DerMarr Johnson","DerMarr","Johnson","dermarr","johnson",NA,"398/dermarr-johnson",398,"dermarr-johnson",2005,2008
"213","Devean George","Devean","George","devean","george",NA,"267/devean-george",267,"devean-george",2005,2010
"214","Doug Christie","Doug","Christie","doug","christie",NA,"147/doug-christie",147,"doug-christie",2005,2007
"215","Etan Thomas","Etan","Thomas","etan","thomas",NA,"851/etan-thomas",851,"etan-thomas",2005,2011
"216","Jannero Pargo","Jannero","Pargo","jannero","pargo",NA,"1821/jannero-pargo",1821,"jannero-pargo",2005,2015
"217","Jared Jeffries","Jared","Jeffries","jared","jeffries",NA,"1717/jared-jeffries",1717,"jared-jeffries",2005,2013
"218","Jason Collins","Jason","Collins","jason","collins",NA,"987/jason-collins",987,"jason-collins",2005,2014
"219","Jeff Foster","Jeff","Foster","jeff","foster",NA,"250/jeff-foster",250,"jeff-foster",2005,2012
"220","Jiri Welsch","Jiri","Welsch","jiri","welsch",NA,"1730/jiri-welsch",1730,"jiri-welsch",2005,2006
"221","Joel Przybilla","Joel","Przybilla","joel","przybilla",NA,"682/joel-przybilla",682,"joel-przybilla",2005,2013
"222","Jon Barry","Jon","Barry","jon","barry",NA,"41/jon-barry",41,"jon-barry",2005,2006
"223","Kelvin Cato","Kelvin","Cato","kelvin","cato",NA,"139/kelvin-cato",139,"kelvin-cato",2005,2007
"224","Kerry Kittles","Kerry","Kittles","kerry","kittles",NA,"437/kerry-kittles",437,"kerry-kittles",2005,2005
"225","Kwame Brown","Kwame","Brown","kwame","brown",NA,"981/kwame-brown",981,"kwame-brown",2005,2013
"226","Leandro Barbosa","Leandro","Barbosa","leandro","barbosa",NA,"2166/leandro-barbosa",2166,"leandro-barbosa",2005,2017
"227","Malik Rose","Malik","Rose","malik","rose",NA,"739/malik-rose",739,"malik-rose",2005,2009
"228","Marcus Fizer","Marcus","Fizer","marcus","fizer",NA,"247/marcus-fizer",247,"marcus-fizer",2005,2006
"229","Matt Bonner","Matt","Bonner","matt","bonner",NA,"1996/matt-bonner",1996,"matt-bonner",2005,2016
"230","Maurice Evans","Maurice","Evans","maurice","evans",NA,"1031/maurice-evans",1031,"maurice-evans",2005,2012
"231","Maurice Taylor","Maurice","Taylor","maurice","taylor",NA,"837/maurice-taylor",837,"maurice-taylor",2005,2007
"232","Melvin Ely","Melvin","Ely","melvin","ely",NA,"1709/melvin-ely",1709,"melvin-ely",2005,2014
"233","Rasual Butler","Rasual","Butler","rasual","butler",NA,"1767/rasual-butler",1767,"rasual-butler",2005,2016
"234","Rodney Buford","Rodney","Buford","rodney","buford",NA,"114/rodney-buford",114,"rodney-buford",2005,2005
"235","Ronald Murray","Ronald","Murray","ronald","murray",NA,"1777/ronald-murray",1777,"ronald-murray",2005,2010
