player_name,bbref_link,bbref_id,sportsref_id,first_year,last_year
Anthony Davis,d/davisan02,davisan02,anthony-davis-5,2013,2019
Anthony Goldwire,g/goldwan01,goldwan01,anthony-goldwire-1,2005,2006
Anthony Grundy,g/grundan01,grundan01,anthony-grundy-1,2006,2006
Anthony Johnson,j/johnsan02,johnsan02,anthony-johnson-1,2005,2010
Anthony Miller,m/millean01,millean01,anthony-miller-1,2005,2005
Anthony Morrow,m/morroan01,morroan01,anthony-morrow-1,2009,2017
Anthony Parker,p/parkean01,parkean01,anthony-parker-1,2007,2012
Anthony Peeler,p/peelean01,peelean01,anthony-peeler-1,2005,2005
Anthony Randolph,r/randoan01,randoan01,anthony-randolph-1,2009,2014
Anthony Roberson,r/roberan02,roberan02,anthony-roberson-1,2006,2009
Anthony Tolliver,t/tollian01,tollian01,anthony-tolliver-1,2009,2019
Antoine Walker,w/walkean02,walkean02,antoine-walker-1,2005,2008
Antoine Wright,w/wrighan01,wrighan01,antoine-wright-1,2006,2011
Antonio Anderson,a/anderan02,anderan02,antonio-anderson-1,2010,2010
Antonio Blakeney,b/blakean01,blakean01,antonio-blakeney-1,2018,2019
Antonio Burks,b/burksan01,burksan01,antonio-burks-1,2005,2006
Antonio Daniels,d/daniean01,daniean01,antonio-daniels-1,2005,2011
Antonio Davis,d/davisan01,davisan01,antonio-davis-1,2005,2006
Antonio McDyess,m/mcdyean01,mcdyean01,antonio-mcdyess-1,2005,2011
Antonius Cleveland,c/clevean01,clevean01,antonius-cleveland-1,2018,2018
Archie Goodwin,g/goodwar01,goodwar01,archie-goodwin-1,2014,2017
Arinze Onuaku,o/onuakar01,onuakar01,arinze-onuaku-1,2014,2017
Armon Johnson,j/johnsar02,johnsar02,armon-johnson-1,2011,2012
Arnett Moultrie,m/moultar01,moultar01,arnett-moultrie-1,2013,2014
Aron Baynes,b/baynear01,baynear01,aron-baynes-1,2013,2019
Arron Afflalo,a/afflaar01,afflaar01,arron-afflalo-1,2008,2018
Arvydas Macijauskas,m/macijar01,macijar01,,2006,2006
Austin Croshere,c/croshau01,croshau01,austin-croshere-1,2005,2009
Austin Daye,d/dayeau01,dayeau01,austin-daye-1,2010,2015
Austin Rivers,r/riverau01,riverau01,austin-rivers-1,2013,2019
Avery Bradley,b/bradlav01,bradlav01,avery-bradley-1,2011,2019
Awvee Storey,s/storeaw01,storeaw01,awvee-storey-1,2005,2008
Axel Toupane,t/toupaax01,toupaax01,,2016,2017
B.J. Johnson,j/johnsbj01,johnsbj01,bj-johnson-2,2019,2019
Bam Adebayo,a/adebaba01,adebaba01,edrice-adebayo-1,2018,2019
Baron Davis,d/davisba01,davisba01,baron-davis-1,2005,2012
Ben Bentil,b/bentibe01,bentibe01,ben-bentil-1,2017,2017
Ben Gordon,g/gordobe01,gordobe01,ben-gordon-1,2005,2015
Ben Handlogten,h/handlbe01,handlbe01,ben-handlogten-1,2005,2005
Ben Hansbrough,h/hansbbe01,hansbbe01,ben-hansbrough-1,2013,2013
Ben McLemore,m/mclembe01,mclembe01,ben-mclemore-1,2014,2019
Ben Moore,m/moorebe01,moorebe01,ben-moore-1,2018,2018
Ben Simmons,s/simmobe01,simmobe01,ben-simmons-1,2018,2019
Ben Uzoh,u/uzohbe01,uzohbe01,ben-uzoh-1,2011,2012
Ben Wallace,w/wallabe01,wallabe01,,2005,2012
Beno Udrih,u/udrihbe01,udrihbe01,,2005,2017
Bernard James,j/jamesbe01,jamesbe01,bernard-james--1,2013,2015
Bernard Robinson,r/robinbe01,robinbe01,bernard-robinson-1,2005,2007
Billy Garrett,g/garrebi01,garrebi01,billy-garrett-1,2019,2019
Billy Thomas,t/thomabi01,thomabi01,billy-thomas-1,2005,2008
Bismack Biyombo,b/biyombi01,biyombi01,,2012,2019
Blake Ahearn,a/ahearbl01,ahearbl01,blake-ahearn-1,2008,2012
Blake Griffin,g/griffbl01,griffbl01,blake-griffin-1,2011,2019
Bo Outlaw,o/outlabo01,outlabo01,bo-outlaw-1,2005,2008
Bob Sura,s/surabo01,surabo01,bob-sura-1,2005,2005
Boban Marjanovic,m/marjabo01,marjabo01,,2016,2019
Bobby Brown,b/brownbo02,brownbo02,bobby-brown-1,2009,2018
Bobby Jackson,j/jacksbo01,jacksbo01,bobby-jackson-1,2005,2009
Bobby Jones,j/jonesbo02,jonesbo02,bobby-jones-2,2007,2008
Bobby Portis,p/portibo01,portibo01,bobby-portis-1,2016,2019
Bobby Simmons,s/simmobo01,simmobo01,bobby-simmons-1,2005,2012
Bogdan Bogdanovic,b/bogdabo01,bogdabo01,,2018,2019
Bojan Bogdanovic,b/bogdabo02,bogdabo02,,2015,2019
Boniface N'Dong,n/ndongbo01,ndongbo01,,2006,2006
Bonzi Wells,w/wellsbo01,wellsbo01,bonzi-wells-1,2005,2008
Bonzie Colson,c/colsobo01,colsobo01,bonzie-colson-1,2019,2019
Boris Diaw,d/diawbo01,diawbo01,,2005,2017
Bostjan Nachbar,n/nachbbo01,nachbbo01,,2005,2008
Bracey Wright,w/wrighbr02,wrighbr02,bracey-wright-1,2006,2007
Brad Miller,m/millebr01,millebr01,brad-miller-1,2005,2012
Brad Wanamaker,w/wanambr01,wanambr01,brad-wanamaker-1,2019,2019
Bradley Beal,b/bealbr01,bealbr01,bradley-beal-1,2013,2019
Brandan Wright,w/wrighbr03,wrighbr03,brandan-wright-1,2008,2018
Branden Dawson,d/dawsobr01,dawsobr01,branden-dawson-1,2016,2016
Brandin Knight,k/knighbr02,knighbr02,brandin-knight-1,2005,2005
Brandon Bass,b/bassbr01,bassbr01,brandon-bass-1,2006,2017
Brandon Davies,d/daviebr01,daviebr01,brandon-davies-1,2014,2015
Brandon Goodwin,g/goodwbr01,goodwbr01,brandon-goodwin-1,2019,2019
Brandon Hunter,h/huntebr01,huntebr01,brandon-hunter-1,2005,2005
Brandon Ingram,i/ingrabr01,ingrabr01,brandon-ingram-1,2017,2019
Brandon Jennings,j/jennibr01,jennibr01,,2010,2018
Brandon Knight,k/knighbr03,knighbr03,brandon-knight-1,2012,2019
Brandon Paul,p/paulbr01,paulbr01,brandon-paul-1,2018,2018
Brandon Roy,r/roybr01,roybr01,brandon-roy-1,2007,2013
Brandon Rush,r/rushbr01,rushbr01,brandon-rush-1,2009,2017
Brandon Sampson,s/sampsbr01,sampsbr01,brandon-sampson-1,2019,2019
Brendan Haywood,h/haywobr01,haywobr01,brendan-haywood-1,2005,2015
Brent Barry,b/barrybr01,barrybr01,brent-barry-1,2005,2009
Brevin Knight,k/knighbr01,knighbr01,brevin-knight-1,2005,2009
Brian Cardinal,c/cardibr01,cardibr01,brian-cardinal-1,2005,2012
Brian Cook,c/cookbr01,cookbr01,brian-cook-1,2005,2012
Brian Grant,g/grantbr01,grantbr01,brian-grant-1,2005,2006
Brian Roberts,r/roberbr01,roberbr01,brian-roberts-1,2013,2017
Brian Scalabrine,s/scalabr01,scalabr01,brian-scalabrine-1,2005,2012
Brian Skinner,s/skinnbr01,skinnbr01,brian-skinner-1,2005,2012
Briante Weber,w/weberbr01,weberbr01,briante-weber-1,2016,2018
Brice Johnson,j/johnsbr02,johnsbr02,brice-johnson-1,2017,2018
Britton Johnsen,j/johnsbr01,johnsbr01,britton-johnsen-1,2005,2005
Brook Lopez,l/lopezbr01,lopezbr01,brook-lopez-1,2009,2019
Bruce Bowen,b/bowenbr01,bowenbr01,bruce-bowen-1,2005,2009
Bruce Brown,b/brownbr01,brownbr01,bruce-brown-2,2019,2019
Bruno Caboclo,c/cabocbr01,cabocbr01,,2015,2019
Bruno Sundov,s/sundobr01,sundobr01,,2005,2005
Bryce Cotton,c/cottobr01,cottobr01,bryce-cotton-1,2015,2016
Bryce Dejean-Jones,d/dejeabr01,dejeabr01,bryce-jones-1,2016,2016
Bryn Forbes,f/forbebr01,forbebr01,bryn-forbes-1,2017,2019
Bryon Russell,r/russebr01,russebr01,bryon-russell-1,2005,2006
Buddy Hield,h/hieldbu01,hieldbu01,buddy-hield-1,2017,2019
Byron Mullens,m/mulleby01,mulleby01,bj-mullens-1,2010,2014
C.J. Miles,m/milescj01,milescj01,,2006,2019
C.J. Watson,w/watsocj01,watsocj01,cj-watson-1,2008,2017
C.J. Wilcox,w/wilcocj01,wilcocj01,cj-wilcox-1,2015,2017
C.J. Williams,w/willicj01,willicj01,cj-williams-2,2018,2019
Calbert Cheaney,c/cheanca01,cheanca01,calbert-cheaney-1,2005,2006
Caleb Swanigan,s/swanica01,swanica01,caleb-swanigan-1,2018,2019
Calvin Booth,b/boothca01,boothca01,calvin-booth-1,2005,2009
Cameron Bairstow,b/bairsca01,bairsca01,cameron-bairstow-1,2015,2016
Cameron Payne,p/payneca01,payneca01,cameron-payne-1,2016,2019
Cameron Reynolds,r/reynoca01,reynoca01,cameron-reynolds-1,2019,2019
Caris LeVert,l/leverca01,leverca01,caris-levert-1,2017,2019
Carl Landry,l/landrca01,landrca01,carl-landry-1,2008,2016
Carldell Johnson,j/johnsca01,johnsca01,carldell-johnson-1,2012,2012
Carlos Arroyo,a/arroyca01,arroyca01,carlos-arroyo-1,2005,2011
Carlos Boozer,b/boozeca01,boozeca01,carlos-boozer-1,2005,2015
Carlos Delfino,d/delfica01,delfica01,,2005,2013
Carmelo Anthony,a/anthoca01,anthoca01,carmelo-anthony-1,2005,2019
Caron Butler,b/butleca01,butleca01,caron-butler-1,2005,2016
Carrick Felix,f/felixca01,felixca01,carrick-felix-1,2014,2014
Cartier Martin,m/martica01,martica01,cartier-martin-1,2009,2015
Casey Jacobsen,j/jacobca01,jacobca01,casey-jacobsen-1,2005,2008
Casper Ware,w/wareca01,wareca01,casper-ware-1,2014,2014
